Position,Company Name,Experience,pay,Rating,URL
Computer Science - online tutor/expert,Chegg India,,,,
Associate Content Ingest Analyst,Clarivate,₹228K - ₹440K (Glassdoor est.),,,
Data Analyst II - 1022-CH-276,Elsevier,,,,
Analyst -Meteorologist/Oceanographer/Atmospheric science,Blue Power Partners,₹324K - ₹1M (Glassdoor est.),,,
SQL Data/ETL Analyst,Quadraflake Consulting Private Limited,₹600K - ₹800K (Employer est.),,,
Business Analyst - Retail Banking,Larsen & Toubro Infotech Limited,,,,
data science analyst - AVP,Citi,₹919K - ₹2M (Glassdoor est.),,,
Analyst - Tech Consulting - National - Data & Analytics - Chennai,EY,₹482K - ₹852K (Glassdoor est.),,,
Data Analyst,ARi,,,,
Data Analyst with Tableau,SRM Technologies,₹620K - ₹1M (Glassdoor est.),,,
Senior Data Analyst,BigTapp,₹396K - ₹687K (Glassdoor est.),,,
Data Analyst Lead,LatentView,₹650K - ₹913K (Glassdoor est.),,,
Business Intelligence Analyst I,Caterpillar,₹1M - ₹2M (Glassdoor est.),,,
Data Science Senior Analyst - Compliance Testing Automation,Citi,₹2M - ₹2M (Glassdoor est.),,,
Knowledge Analyst – Manufacturing & Supply Chain,McKinsey & Company,₹940K - ₹2M (Glassdoor est.),,,
Data Science - ML,LatentView,₹614K - ₹1M (Glassdoor est.),,,
MIS Executive / Data Analyst,Zebronics,₹510K - ₹1M (Glassdoor est.),,,
Data Analyst,Ford Global Business Services,₹600K - ₹1M (Glassdoor est.),,,
Junior Associate - Brand Analytics – Data Analyst,AstraZeneca,,,,
Data Analyst,Pozent,₹243K - ₹2M (Glassdoor est.),,,
Data Analyst,Chryselys,₹593K - ₹962K (Glassdoor est.),,,
Senior Data Management Analyst,The Bank of New York Mellon Corporation,₹2M - ₹2M (Glassdoor est.),,,
GTC -Mech - Engineer Data Analyst,Valeo,₹324K - ₹500K (Glassdoor est.),,,
Data Analyst,Skilfil Consultants,₹1M - ₹2M (Employer est.),,,
Data Analyst,Standard Chartered,₹467K - ₹2M (Glassdoor est.),,,
Senior Analyst - Referential Data,Société Générale,₹432K - ₹689K (Glassdoor est.),,,
Data and Insights Analyst,AstraZeneca,,,,
Associate Content Editor - Biotech,Clarivate,₹630K - ₹770K (Glassdoor est.),,,
Aggregate Report Analyst,Pfizer,₹464K - ₹1M (Glassdoor est.),,,
Data Scientist,Intellect Design Arena,₹799K - ₹1M (Glassdoor est.),,,
Data Analyst/ Business Analyst,Flex,₹390K - ₹1M (Glassdoor est.),,,
Analyst,LatentView,₹600K - ₹1M (Glassdoor est.),,,
Data Analyst,Cynosure,₹240K - ₹473K (Glassdoor est.),,,
Engineer - Infrastructure Analyst,AstraZeneca,,,,
Lead - Data Analyst,Standard Chartered,₹467K - ₹2M (Glassdoor est.),,,
"Analyst, Tech Support",Standard Chartered,,,,
Sr. Associate - Projects,Cognizant,,,,
Data Science Lead Analyst - Compliance Testing Analytics- VP (Hybrid),Citi,₹919K - ₹2M (Glassdoor est.),,,
QUALITY ANALYST,Redspeck Solutions,₹118K - ₹284K (Glassdoor est.),,,
Data Analyst,Dropthought,₹180K - ₹565K (Glassdoor est.),,,
Analytics Modeler,Ford Global Business Services,₹791K - ₹2M (Glassdoor est.),,,
Senior Tech Analyst,Roche,₹379K - ₹728K (Glassdoor est.),,,
Data Analyst II - 1022-CH-276,RELX,₹1M - ₹3M (Glassdoor est.),,,
Data Analytics Senior Analyst - C12,Citi,₹919K - ₹2M (Glassdoor est.),,,
Corporate FPandA Data Analyst,KBR,₹400K - ₹593K (Glassdoor est.),,,
HR Data Analyst,Flex,₹291K - ₹482K (Glassdoor est.),,,
Analyst - Content Build Specialist,AstraZeneca,,,,
Senior Data Analyst,Avtar,₹250K - ₹565K (Glassdoor est.),,,
Data Science Intern,Ganit,,,,
AML/KYC- Business Analyst,Cognizant,₹680K - ₹2M (Glassdoor est.),,,
Senior Consultant - Data Research Analyst,Thryve Digital,₹285K - ₹545K (Glassdoor est.),,,
Sr. Analyst,Hubbell Incorporated,,,,
Senior Analyst - Solution & Service Delivery,AstraZeneca,,,,
"Specialist, Data Analysis",Standard Chartered,₹467K - ₹2M (Glassdoor est.),,,
Suuply Chain Backlog Mgmt. Analyst II,Hewlett Packard Enterprise,₹537K - ₹687K (Glassdoor est.),,,
Data Warehouse Engineer,Larsen & Toubro Limited,₹400K - ₹600K (Glassdoor est.),,,
Senior Analyst,PayPal,₹410K - ₹1M (Glassdoor est.),,,
Delphi - Data Analyst - L5,Incedo,₹744K - ₹1M (Glassdoor est.),,,
Analyst - Insight,AstraZeneca,,,,
Data Scientist,SYS Research,,,,
Senior Test Analyst,ICON - APAC,,,,
Data/Information Mgt Analyst 2 - Assistant Manager,Citi,₹650K - ₹830K (Glassdoor est.),,,
Senior Test Analyst,ICON,₹638K - ₹1M (Glassdoor est.),,,
Senior Data Analyst,BSRI Solutions,₹360K - ₹583K (Glassdoor est.),,,
Content Ingest Analyst,Clarivate,₹228K - ₹440K (Glassdoor est.),,,
Medical Recs Coding & Transc. Analyst,NTT Data Services,₹147K - ₹246K (Glassdoor est.),,,
Lead Data Scientist,Incedo,₹896K - ₹2M (Glassdoor est.),,,
Senior Analyst – Data Analytics,Flex,₹290K - ₹482K (Glassdoor est.),,,
Senior Quality Assurance and Testing Analyst,BNY Mellon,₹610K - ₹2M (Glassdoor est.),,,
Finops Data Analyst,WPP,₹401K - ₹543K (Glassdoor est.),,,
Data Analyst,FE Fundinfo,₹280K - ₹521K (Glassdoor est.),,,
Urgent - MIS Sr./Executive - Chennai,Orcapod,₹200K - ₹700K (Employer est.),,,
Associate Business Analyst,TASKUS INDIA PRIVATE LIMITED,₹200K - ₹500K (Employer est.),,,
Power BI Developer,Quadraflake Consulting Private Limited,₹540K (Employer est.),,,
Associate ETL Analyst,Clarivate,₹803K - ₹2M (Glassdoor est.),,,
Lead consultant Technical Insight Analyst,AstraZeneca,,,,
Data Analyst,OneMagnify,₹1M - ₹2M (Glassdoor est.),,,
2100_Product analytics,Recruise India Consulting Pvt Ltd,₹353K - ₹600K (Glassdoor est.),,,
Business Analyst,Standard Chartered,₹1M - ₹2M (Glassdoor est.),,,
Salesforce analyst,Sage IT India,₹221K - ₹300K (Glassdoor est.),,,
Associate - Projects,Cognizant,₹700K - ₹1M (Glassdoor est.),,,
Senior Analyst - Learning Specialist,AstraZeneca,,,,
Support Analyst,BNP Paribas,₹500K - ₹846K (Glassdoor est.),,,
Business Analyst,Barclays,₹800K - ₹1M (Glassdoor est.),,,
Clinical Content Analyst,Athenahealth,₹457K - ₹590K (Glassdoor est.),,,
Senior Real World Data Analyst,Inspire,₹662K - ₹900K (Glassdoor est.),,,
Senior Analyst,LatentView,₹600K - ₹1M (Glassdoor est.),,,
Data Analyst,LatentView,₹650K - ₹913K (Glassdoor est.),,,
Quality Control Executive,CellBios Healthcare And Lifesciences,₹180K - ₹800K (Glassdoor est.),,,
Business Data Analyst - Marketing,Lennox International,₹460K - ₹603K (Glassdoor est.),,,
Lead Data Management Analyst,WELLS FARGO BANK,,,,
Senior Test Analyst,ICON - APAC,,,,
Test Analyst,Standard Chartered,₹720K - ₹1M (Glassdoor est.),,,
Analyst-Pharmacovigilance,Accenture,,,,
Implementation Engineer,YALAMANCHILI,₹387K - ₹627K (Glassdoor est.),,,
Analyst - Learning Specialist,AstraZeneca,,,,
Programmer Analyst,Cognizant,₹400K - ₹460K (Glassdoor est.),,,
Senior Consultant - Reporting Analyst,AstraZeneca,,,,
Senior Infrastructure Operations Analyst,BNY Mellon,₹330K - ₹800K (Glassdoor est.),,,
Business Analyst,Calibraint,₹455K - ₹1M (Glassdoor est.),,,
